Title,Difficulty,Level,Chart Constant,Score,Note Count,PM Rating,Play Rating,Play Potential
UNKNOWN LEVELS,FTR,10,10.6,"9,617,979","1,149",-,0.3932633333,10.99326333
memoryfactory.lzh,FTR,8+,8.9,"9,613,624",672,-,0.3787466667,9.278746667
Last | Eternity,BYD,9+,9.7,"9,582,954",790,-,0.2765133333,9.976513333
FREEF4LL,BYD,9+,9.8,"9,566,853","1,336",-,0.2228433333,10.02284333
Oblivia,BYD,9+,9.7,"9,564,990","1,021",-,0.2166333333,9.916633333
FLUFFY FLASH,FTR,9+,9.8,"9,560,934","1,329",-,0.2031133333,10.00311333
Vandalism,FTR,9+,9.7,"9,540,928","1,087",-,0.1364266667,9.836426667
Amekagura,FTR,9+,9.9,"9,540,871","1,076",-,0.1362366667,10.03623667
Antithese,BYD,9,9.6,"9,525,571",968,-,0.08523666667,9.685236667
Abstruse Dilemma,FTR,11,11.3,"9,510,346","1,467",-,0.03448666667,11.33448667
Felis,FTR,10,10.4,"9,497,587","1,153",-,-0.008043333333,10.39195667
Cybernecia Catharsis,BYD,9+,9.8,"9,491,148",991,-,-0.02950666667,9.770493333
Heart,FTR,9,9.6,"9,490,390",872,-,-0.03203333333,9.567966667
trappola bewitching,BYD,10,10.6,"9,471,404","1,086",-,-0.09532,10.50468
Red and Blue and Green,BYD,10,10.2,"9,460,882","1,194",-,-0.1303933333,10.06960667
corps-sans-organes,FTR,10,10.6,"9,439,073","1,077",-,-0.20309,10.39691
Party Vinyl,BYD,10,10.3,"9,429,952",946,-,-0.2334933333,10.06650667
LAMIA,FTR,11,11,"9,427,111","1,385",-,-0.2429633333,10.75703667
Dantalion,FTR,10+,10.8,"9,421,815","1,478",-,-0.2606166667,10.53938333
RGB,FTR,9+,9.8,"9,412,940","1,131",-,-0.2902,9.5098
Aegleseeker,FTR,11,11.2,"9,411,285","1,568",-,-0.2957166667,10.90428333
SAIKYO STRONGER,FTR,11,11,"9,397,737","1,384",-,-0.3408766667,10.65912333
